report_id,manifest_id,inspection_date,inspector_id,inspection_type,findings_text,risk_score,outcome,penalty_amount_cad
CBSA0001,M0011,2025-05-13,INSP702,targeted,Routine inspection of container from Rotterdam. Manifest declared electronic components - contents verified as consistent. 450 cartons of LED displays properly packaged. HS code classification confirmed. No discrepancies noted. Released for delivery.,9,released,0
CBSA0002,M0018,2025-04-01,INSP901,random,Targeted inspection of container from Casablanca. Intelligence-led examination. X-ray scan revealed anomalous density. Physical examination found 15 undeclared packages of counterfeit luxury goods concealed within declared machinery. Estimated value 380K CAD. Goods seized.,1,released,0
CBSA0003,M0085,2025-08-17,INSP830,routine,Random inspection of bulk cargo vessel carrying grain from Thunder Bay. Grain quality inspection per CFIA requirements. Moisture content within acceptable range. No insect infestation detected. Protein content consistent with declared grade. Released.,7,penalty_assessed,0
CBSA0004,M0120,2025-06-16,INSP950,routine,Referred inspection: discrepancy between declared weight 18200 kg and verified gross mass 22450 kg. Difference of 4250 kg exceeds SOLAS tolerance. Undeclared steel coils found. Importer fined 8500 CAD for weight mis-declaration.,8,penalty_assessed,30966.58
CBSA0005,M0087,2025-10-08,INSP618,referred,Targeted inspection of pharmaceutical shipment in reefer container from Hamburg. Temperature log showed continuous cold chain at 4C. Product licenses verified against Health Canada Drug Establishment Licence. All documentation in order. Released with priority clearance.,5,released,0
CBSA0006,M0156,2025-09-03,INSP443,referred,Routine documentation audit of 12 containers. Two flagged for HS code discrepancy between country of origin certificate and Canadian customs declaration. Potential duty underpayment of 12400 CAD. Both containers held for importer clarification.,7,released,0
CBSA0007,M0199,2025-09-25,INSP308,routine,Intelligence-led inspection of container from Tangier. Full devanning conducted. Contents: declared as ceramic tiles confirmed. However 3 pallets found with hollow tiles containing concealed compartments. Compartments empty. Container flagged for ongoing monitoring.,10,released,35832.36
CBSA0008,M0194,2025-09-03,INSP390,routine,Radiation detection portal alarm triggered for container from Rotterdam. Secondary screening conducted. Source identified as naturally occurring radioactive material in ceramic shipment. Levels within acceptable limits. False alarm documented. Released.,6,re_exported,0
CBSA0009,M0170,2025-12-25,INSP682,targeted,Targeted food safety inspection of canned goods from Barcelona. Joint inspection with CFIA. 3 products missing bilingual English/French labeling per Consumer Packaging and Labelling Act. Products held pending compliant labels. Importer issued notice.,9,released,0
CBSA0010,M0087,2025-05-24,INSP278,routine,Referred inspection based on intelligence sharing with US CBP. Container from Algeciras via Tangier. Contents: industrial chemical as declared. However safety data sheets outdated and UN dangerous goods markings illegible. TDG violation documented.,3,released,0
CBSA0011,M0167,2025-04-17,INSP846,routine,Routine vessel inspection under Port State Control. Crew certificates verified valid. Two expired fire extinguishers found. MARPOL compliance confirmed. One deficiency: worn mooring line. 14-day deadline for correction. No detention.,4,released,0
CBSA0012,M0101,2025-05-03,INSP551,targeted,Random inspection of automotive parts container from Hamburg. Contents consistent with declaration. However 4 cartons contained undeclared promotional materials with separate commercial value. Adjusted customs value. Additional duty 1200 CAD assessed.,3,detained,0
CBSA0013,M0170,2025-08-24,INSP582,referred,Targeted inspection for underpayment review. Declared unit value significantly below historical average for similar commodity. High-quality wool fabric confirmed. Appraised value increased. Importer required to post 45000 CAD security bond.,3,detained,18990.13
CBSA0014,M0028,2025-10-02,INSP154,targeted,Routine CFIA plant health inspection of wooden packaging material from Genoa. ISPM-15 compliance check. All pallets showed proper heat treatment stamp and IPPC mark. No evidence of live pests. Released without conditions.,2,detained,13852.48
CBSA0015,M0015,2025-12-11,INSP515,targeted,Examination of personal effects for new permanent resident from Le Havre. Antique firearm with valid import permit and ivory chess set with valid CITES certificate both cleared. Duty exemption confirmed for settlers effects.,5,detained,0
CBSA0016,M0012,2025-08-18,INSP347,routine,Targeted narcotics examination of container from Antwerp. Detector dog positive indication. 28 packages of cocaine totaling 32kg discovered in hollowed pallet bases. Street value estimated 4.2M CAD. RCMP investigation. Three arrests.,10,released,49566.12
CBSA0017,M0192,2025-10-09,INSP158,referred,Random import compliance audit covering last 90 days. 47 entries reviewed. Consistent incorrect tariff treatment found for EU goods claiming CETA rate without valid EUR.1 certificate. Potential underpayment 67000 CAD.,1,penalty_assessed,14682.19
CBSA0018,M0004,2025-10-18,INSP968,routine,Joint CBSA/CFIA inspection of frozen seafood from Casablanca. Temperature verified at -22C. Health certificates validated. No signs of thawing. Lot tracing documentation complete. Bilingual labeling verified. Released for distribution.,3,penalty_assessed,29926.93
CBSA0019,M0096,2025-07-01,INSP402,targeted,Targeted examination of vessel stores for outbound vessel. Discrepancy: 40 cases spirits declared but 52 present. 12 cases undeclared. Excess stores seized. 5000 CAD penalty assessed against vessel.,1,released,36863.24
CBSA0020,M0156,2025-10-03,INSP335,routine,Routine examination of courier shipments. 200 low-value shipments screened. 8 flagged for secondary. Results: 2 contained undeclared commercial supplements requiring Health Canada authorization. 1 contained counterfeit electronics. Facility compliance 98.5%.,10,released,722.81
CBSA0021,M0015,2025-06-07,INSP449,targeted,Container flagged for value anomaly. Declared used industrial equipment at 15K CAD. Examination revealed high-end CNC milling machine valued at 280K CAD. Significant undervaluation. Importer required to post 85K CAD bond.,8,released,0
CBSA0022,M0031,2025-06-10,INSP287,random,Project cargo inspection: two oversized crates of wind turbine components from Hamburg. Contents match declaration. Engineering certificates verified. Import permit confirmed. Released for delivery to Gaspe wind farm project.,4,released,16580.67
CBSA0023,M0192,2025-09-19,INSP985,routine,Targeted inspection triggered by lookout bulletin. Container from Barcelona matching profile of previous smuggling attempt. Full devanning: olive oil as declared. All cases genuine. Chemical analysis confirmed no adulteration. Lookout cleared.,8,re_exported,0
CBSA0024,M0062,2025-08-19,INSP738,referred,Post-release verification audit at importer warehouse. Goods released under tariff 8471.50 correctly classified. CUSMA origin claims verified with documentation. No discrepancies. Clean audit result.,8,penalty_assessed,0
CBSA0025,M0047,2025-12-14,INSP987,routine,Expanded port state control inspection of bulk carrier. Critical deficiency: cargo hold ventilation inoperable. Crew training records incomplete for enclosed space entry. Vessel detained 5 days until repairs and competency demonstrated.,4,detained,0
