report_id,vessel_id,report_date,report_type,location_description,report_text,recommended_actions,status
MSR0001,V016,2025-08-14,accident,Longue-Pointe sector,Navigation incident report: Vessel ONE Champlain experienced steering gear malfunction while transiting the St. Lawrence Ship Channel near Sorel-Tracy. Vessel began drifting toward channel marker B-47. Emergency steering engaged after 45 seconds. Two upbound vessels took evasive action. No contact made.,Implement predictive weather warning system,closed
MSR0002,V016,2025-04-03,navigation,Longue-Pointe sector,Pollution observation report: Oil sheen approximately 200m x 50m observed on river surface near Longue-Pointe sector during morning patrol. No vessel in immediate vicinity. Environment Canada pollution response team deployed skimmer vessel. Source determined to be storm sewer outfall.,Implement predictive weather warning system,open
MSR0003,V002,2025-08-28,weather,Longue-Pointe sector,Accident investigation report: Container vessel Hapag-Lloyd Laurentien made heavy contact with berth fender system at Cast Terminal during berthing maneuver. Wind gusted to 55km/h during final approach. Three fender panels crushed. Minor hull paint damage.,Review berthing procedures for high-wind conditions,closed
MSR0004,V014,2025-06-07,navigation,Ile Sainte-Helene approaches,Near-miss report: Outbound bulk carrier and inbound container ship had closest point of approach of 45m in narrow section near Ile Sainte-Therese. Both vessels were within channel limits. Contributing factors: restricted visibility and communication delay between pilots.,Update emergency response procedures,investigating
MSR0005,V006,2025-04-02,accident,Maisonneuve Terminal approach,Weather damage assessment: Severe ice storm caused accumulation of 25mm ice on vessel rigging crane booms and terminal infrastructure at Maisonneuve Terminal. Two shore cranes sustained ice damage to electrical cable systems. Port at 40% capacity for 36 hours.,Conduct fleet-wide inspection of similar equipment,closed
MSR0006,V003,2025-05-14,navigation,Bickerdike Terminal channel,Navigation report: Pilot reports increasing siltation in approach channel to Bickerdike Terminal. Under-keel clearance for loaded Panamax vessels reduced to 0.8m at low water. Temporary draft restriction imposed. Hydrographic survey commissioned.,Conduct fleet-wide inspection of similar equipment,closed
MSR0007,V018,2025-12-22,weather,Maisonneuve Terminal approach,Pollution prevention inspection: Vessel ZIM Atlantic failed oil-water separator test during port state control inspection at Viau Terminal. Oil content in discharge measured at 42ppm exceeding 15ppm limit. Vessel detained under MARPOL Annex I deficiency.,Enhance vessel traffic separation during reduced visibility,closed
MSR0008,V012,2025-09-07,pollution,St. Lawrence Ship Channel near Sorel-Tracy,Near-miss report: Pleasure craft entered commercial shipping lane near Maisonneuve Terminal during summer weekend. Container vessel took emergency action to avoid collision. Minimum distance 80m. Coast Guard issued safety advisory.,Increase pollution response equipment,closed
MSR0009,V007,2025-10-10,near_miss,Pointe-aux-Trembles reach,Accident report: Mooring line parted on bulk carrier Nordic Express during cargo operations at Racine Terminal. Line whiplash struck bollard area. No personnel in snap-back zone. Vessel shifted 2m along berth.,Update emergency response procedures,investigating
MSR0010,V003,2025-11-18,weather,Pointe-aux-Trembles reach,Weather report: Rapid fog formation in St. Lawrence River between Sorel-Tracy and Montreal caused visibility drop to 50m within 15 minutes. Five inbound vessels anchored. Three outbound vessels delayed. Total vessel-hours delayed: 96.,Enhance vessel traffic separation during reduced visibility,closed
MSR0011,V018,2025-04-20,weather,Maisonneuve Terminal approach,Navigation hazard report: Submerged object detected by side-scan sonar during routine channel survey near Longue-Pointe. Object identified as sunken barge from 2019 storm that has shifted position. Temporary buoy placed.,Conduct fleet-wide inspection of similar equipment,closed
MSR0012,V001,2025-06-06,weather,Maisonneuve Terminal approach,Pollution report: Vessel Evergreen Cartier reported loss of container overboard during heavy weather transit of Gulf of St. Lawrence en route to Montreal. Container contents: non-hazardous household goods. Marine safety bulletin issued.,Enhance vessel traffic separation during reduced visibility,closed
MSR0013,V020,2025-05-01,weather,Bickerdike Terminal channel,Near-miss report: Shore crane spreader detached from trolley during lift operation at Cast Terminal. Spreader fell 8m to deck of vessel. No personnel on deck in impact area. Root cause: failure of main hoist pin due to metal fatigue.,Implement predictive weather warning system,closed
MSR0014,V011,2025-11-07,accident,Ile Sainte-Therese narrows,Weather observation: Thunderstorm cell produced wind gust of 95km/h at Viau Terminal weather station. All crane operations suspended automatically. One container safely lowered by operator before auto-shutdown.,Increase pollution response equipment,closed
MSR0015,V001,2025-04-05,weather,Maisonneuve Terminal approach,Accident report: Tug and harbour pilot boat collision in port approaches near Ile Sainte-Helene. Tug performing escort duty struck pilot boat during pilot transfer. Pilot boat sustained hull damage above waterline. One pilot bruised.,Enhance communication protocols between VTS and pilots,open
MSR0016,V007,2025-06-20,navigation,Longue-Pointe sector,Navigation report: Excessive vessel speed reported by VTS for outbound container ship in port limits near Pointe-aux-Trembles. Vessel recorded at 12.5 knots in 8-knot zone. Wake wash caused damage to small craft marina.,Install additional navigation aids,investigating
MSR0017,V020,2025-10-26,pollution,Longue-Pointe sector,Pollution observation: Garbage discharge from vessel observed by harbour patrol at 0530h near anchorage B. Plastics food waste and paper in water. MARPOL Annex V violation documented. Administrative penalty issued.,Enhance communication protocols between VTS and pilots,closed
MSR0018,V013,2025-08-13,near_miss,Cast Terminal berth area,Near-miss report: Rail car derailment on port rail spur near Racine Terminal. Two empty container flat cars left track due to broken rail joint. No injuries. Rail line blocked for 14 hours.,Enhance vessel traffic separation during reduced visibility,open
MSR0019,V014,2025-09-19,pollution,Bickerdike Terminal channel,Weather impact: Spring ice breakup created unusual ice jam conditions in Lac Saint-Pierre upstream of Montreal. Seaway traffic suspended for 48 hours. Significant economic impact with 12 vessels delayed.,Conduct fleet-wide inspection of similar equipment,closed
MSR0020,V013,2025-07-27,weather,Port of Montreal main channel,Accident report: Container truck overturned on port access ramp to Maisonneuve Terminal during icy conditions. Driver minor injuries. Container shifted but remained on chassis. Ramp closed for 4 hours.,Enhance vessel traffic separation during reduced visibility,closed
